长嘴百灵,Tibetan Lark,Melanocorypha maxima,大型（21-22厘米）笨重的百灵;;具尖锐、微向下弯的喙；上体淡褐色，下体米白色;;具淡色的眉纹、明显的褐色耳羽，颈侧靠近肩处有黑色斑;;⚑头部图案的对比较草原百灵和双斑百灵小，但比黑百灵雌鸟更强;;⚑独特的刀片状喙将其与草原百灵和双斑百灵区分;;⚑飞行中可见雪白的外侧尾羽和翼后缘；而草原百灵尾端几乎无白色，双斑百灵翅和尾都没有白色;;见于高原地区，偏爱潮湿区域，包括湖泊、沼泽和水淹牧场的边缘;;飞行时会发出连续的颤音和嘈杂的刺耳音符的鸣唱；鸣叫似鸣唱中的刺耳、嘈杂的短语;
蒙古百灵,Mongolian Lark,Melanocorypha mongolica,大型（18-22厘米）羽色鲜艳的百灵;;整体褐色，顶冠和肩处沾黄褐色调，眉纹白色在眼后下弯，斑驳的黑色领环在喉中央处断开;;⚑在飞行中易识别；黑白色的翅膀花纹使人联想起某些麦鸡和鸻，距离极远时也清晰可辩;;通常单独活动；栖于草原生境，通常靠近湖边和湿草地;
黑百灵,Black Lark,Melanocorypha yeltoniensis,大型（18-21厘米）百灵;;⚑成年雄鸟煤黑色，在百灵中独一无二；在鲜羽中，黑色羽有浅色的边缘;;雌鸟整体是带有条纹的灰褐色，喉和腹部更为浅色，且有粗短的粉红色喙;;主要生活在草原，特别是散布着零星的灌木或湿地的区域；通常不会出现在农田，但在冬季可以出现在家畜附近；在地上觅食，并在冬季结群;;鸣唱较其他百灵弱而短，为一种悦耳的颤音，也能模仿其他鸟类鸣叫;
杜氏百灵,Dupont's Lark,Chersophilus duponti,中型（17-18厘米）百灵;;上体呈隐蔽色，具淡色羽缘，胸部有明显的条纹，腹部白色;;⚑北非亚种（下图）比伊比利亚亚种（上图）更为淡雅;;⚑似云雀，但喙更长且下弯，头部较小;;主要分布在自然的草原和半沙漠地带，行走时昂首挺胸，看起来较为高大；受干扰时多奔跑而不飞翔;;在黄昏和黎明时分在高空中发出忧郁的鸣唱;
图氏沙百灵,Dunn's Lark,Eremalauda dunni,13-15厘米;
阿拉伯百灵,Arabian Lark,Eremalauda eremodites,13-15厘米;
亚洲短趾百灵,Asian Short-toed Lark,Alaudala cheleensis,外貌无明显特征的中型（14-15厘米）鸣禽;;成鸟上体褐色，下体白色;;⚑幼鸟似成鸟，但深色羽毛具白色羽缘;;⚑站势甚直，上体满布纵纹且尾具白色的宽边而有别于其他小型百灵;;⚑似大短趾百灵，但体型较小且颈侧无黑色斑块，喙较粗短，胸部纵纹散布较开，脸部和腹部羽色更浅，整体羽色也更淡;;非繁殖期很少鸣唱，会发出似麻雀的“啾”声;
中亚短趾百灵,Turkestan Short-toed Lark,Alaudala heinei,喙短而像雀类的小型（13-14厘米）浅色百灵;;⚑上喙不黑，可据此与亚洲短趾百灵区分;;⚑极似大短趾百灵，最好的特征是胸和两胁侧腹有明显的条纹，且眉纹轮廓不明显;;⚑极似小短趾百灵，但整体较少红褐色，胸前条纹较窄;;⚑极似亚洲短趾百灵，但体型略小，呈深褐色，条纹更多，尾羽外侧的白色较少;;⚑似恒河沙百灵，但稍大，背部有更多条纹，喙更短更厚;;通常在有灌木、草地和大片裸露土壤的空旷地区的地面上觅食，多见于沙地；在地面快速奔跑;
恒河沙百灵,Sand Lark,Alaudala raytal,小型（12-13厘米）浅色百灵;;羽冠较弱，上体略带条纹，下体为白色;;黑色的眼睛在苍白的脸上脱颖而出;;⚑似土耳其短趾百灵，但尾明显较短、喙比较细而长;;仅在干燥、含沙的水边发现，如河岸、河岛、湖岸和沿海地区;
小短趾百灵,Mediterranean Short-toed Lark,Alaudala rufescens,短喙的淡色小型（13-14厘米）百灵;;喙短而像雀类；胸前和胸侧具有条纹浓重，且眉纹不清晰;;⚑极似亚洲短趾百灵，野外难以识别;;⚑极似大短趾百灵；最好的特征是胸和两胁侧腹有明显的条纹，且缺乏明显的眉纹;;⚑极似中亚短趾百灵，前者整体上稍呈红褐色，胸部的条纹更宽;;通常在开阔地带的灌木、草丛和大面积裸露土壤上觅食；紧贴地面并迅速奔跑;;鸣唱极具变化，通常包括对其他鸟类的模仿;
棕短趾百灵,Somali Short-toed Lark,Alaudala somalica,小型（13-14厘米）;
黄翼斑斗鹎,Western Nicator,Nicator chloris,
东非斗鹎,Eastern Nicator,Nicator gularis,独特的类似丛鵙的鸟（20-23厘米）;;有粗壮的钩状喙;;下体色淡，上体橄榄绿色并带有醒目的白色斑点;;⚑尾部的黄色端部在飞行时较为显眼;;见于森林、灌木丛和茂密林地，习性隐匿且神秘，通常隐匿于林下和中层植被的杂乱枝叶间;;极为聒噪，多数时候通过声音被发现：是一连串急促、似敲击木头般的杂乱声音;
黄喉斗鹎,Yellow-throated Nicator,Nicator vireo,
灰长嘴莺,Grey Longbill,Macrosphenus concolor,11-12厘米;
黄长嘴莺,Yellow Longbill,Macrosphenus flavicans,13厘米;
肯氏长嘴莺,Kemp's Longbill,Macrosphenus kempi,
克氏长嘴莺,Kretschmer's Longbill,Macrosphenus kretschmeri,,坦桑尼亚近特有
普氏长嘴莺,Pulitzer's Longbill,Macrosphenus pulitzeri,12厘米;,安哥拉特有
岩莺,Rockrunner,Achaetops pycnopygius,16-17厘米;,纳米比亚近特有
草莺,Cape Grassbird,Sphenoeacus afer,19-23厘米;,南非近特有
须薮莺,Moustached Grass Warbler,Melocichla mentalis,18-20厘米;
维氏短翅莺,Victorin's Warbler,Cryptillas victorini,,南非特有
短尾森莺,Northern Crombec,Sylvietta brachyura,小型（8厘米）几乎无尾的莺类;;背部呈灰褐色，下体为棕红色;;⚑存在地理差异；喉可能呈暗淡的棕红色（下图）、暗淡白色或亮白色（上图）；但始终有灰褐色的过眼纹;;⚑似棕红脸森莺，但具明显的过眼纹；在重叠的区域通常有亮白色的喉;;主要分布在各种热带草原和林地生境;;鸣唱是快速、混乱的哨音短语，在分布上有些许变化；鸣叫是迅速的木制颤音;
黄腹森莺,Lemon-bellied Crombec,Sylvietta denti,8厘米;
长嘴森莺,Somali Crombec,Sylvietta isabellina,9.5厘米;
白眉森莺,White-browed Crombec,Sylvietta leucophrys,小型（9-9.5厘米）几乎无尾的莺类;;⚑其面部图案独特，具棕红色的冠和对比鲜明的白色眉纹，部分亚种（上图）无白色眼纹;;主要分布在山地潮湿森林的浓密地区，尤其是纠结的底层植被和藤蔓处；有时会混群;;鸣唱是一系列轻柔的上下扭动的啁啾声;
短嘴森莺,Philippa's Crombec,Sylvietta philippae,8厘米;
棕长嘴森莺,Long-billed Crombec,Sylvietta rufescens,10-11厘米;
红顶森莺,Red-capped Crombec,Sylvietta ruficapilla,中型（12厘米）几乎无尾的莺类;;背部呈淡灰色，脸颊和胸部有棕红色;;⚑头顶和额的颜色在分布有所差异：可能为灰色（下图）或棕红色（上图）;;⚑似其他短嘴森莺，可通过棕红色的脸颊和胸部来鉴别;;主要分布在密乌木林中，在冠层中活动；常混群;;鸣唱是短促、上下起伏的琴音;
绿森莺,Green Crombec,Sylvietta virens,小型（8.5-9厘米）几乎无尾的橄榄绿色莺类;;注意稍深的头顶和淡色的眉纹;;⚑下体的颜色在分布上有所差异，可能从褐色（下图）和灰色到淡黄色和黄色（上图）不等;;⚑极似黄腹森莺，但稍大，喙较长，即使是腹部黄色的亚种，其腹部颜色也比后者更暗淡;;主要分布在雨林、次生林和灌木地的中层和林下，通常成对或小群体出现;;鸣唱是一种快速的、音乐般的颤音，呈下降的模式;
棕红脸森莺,Red-faced Crombec,Sylvietta whytii,小型（9厘米）几乎无尾的莺类;;背呈灰色，下体为棕红色;;面部完全呈棕红色;;⚑似其他短嘴森莺，但缺少过眼纹;;主要分布在各种热带草原和林地生境，尤其是在其分布范围南部的密乌木地区;;鸣唱在地理上有变化：可能是柔和的琴音或颤音；鸣叫为短促、快速的木制拨动声;
纹喉杂鹛,Stripe-throated Jery,Neomixis striatigula,12厘米;,马达加斯加特有
北杂鹛,Common Jery,Neomixis tenella,小型（10厘米）充满活力、喙尖锐的莺类;;⚑颈部始终呈现灰色，喉部通常有微弱的条纹，但在分布上有差异（上图）;;⚑比绿杂鹛更大更亮丽，比带纹喉莺鹪更小，且具淡色的脚;;分布于包括森林、灌木、稀树草原、人工林和村庄等有一些灌木植被的各种生境；常与其他小型鸟类一起混群;;鸣唱是一系列尖锐、跳跃的高音;,马达加斯加特有
绿杂鹛,Green Jery,Neomixis viridis,10-11厘米;,马达加斯加特有
小雀莺,Visayan Miniature Babbler,Micromacronus leytensis,7-8厘米;,米沙鄢群岛特有
棉岛雀莺,Mindanao Miniature Babbler,Micromacronus sordidus,7-8厘米;,棉兰老岛特有
黑颈孤莺,Black-necked Eremomela,Eremomela atricollis,10-11.5厘米;
褐冠孤莺,Rufous-crowned Eremomela,Eremomela badiceps,10厘米;
黄胸孤莺,Green-backed Eremomela,Eremomela canescens,10-11厘米;
黄臀孤莺,Yellow-vented Eremomela,Eremomela flavicrissalis,8.5-9厘米;
绿孤莺,Karoo Eremomela,Eremomela gregalis,12厘米;,南非近特有
黄腹孤莺,Yellow-bellied Eremomela,Eremomela icteropygialis,9-11厘米;
绿背孤莺,Senegal Eremomela,Eremomela pusilla,9.5厘米;
绿顶孤莺,Green-capped Eremomela,Eremomela scotops,小型（11-12厘米）漂亮的莺类;;背和冠呈橄榄绿色，胸部为白色;;⚑腹部颜色存在分布差异：可能为白色（下图）或黄色（上图）;;⚑橄榄绿色的冠使其有别于其他孤莺;;主要分布在阔叶林和潮湿的热带草原中；活跃而不安静；通常成小群出现，并常与其他物种混群;;鸣叫包括一系列低沉的哨音和粗糙的“brrit”音;
特氏孤莺,Turner's Eremomela,Eremomela turneri,8.5-9厘米;,肯尼亚特有
褐喉孤莺,Burnt-necked Eremomela,Eremomela usticollis,小型（10-11厘米）羽色朴素的莺;;上体呈烟灰灰色，下体淡浅黄色，喉部白色，眼呈独特的淡柠檬色;;⚑成鸟具鉴别性的赤褐色耳斑，胸部的小横斑通常不明显，冬季时这些特征常消失不见;;⚑幼鸟（右图）没有这些特征;;⚑似红顶森莺，但后者尾短，眼色深;;成对或成小群活动，隐匿于干燥、混交及阔叶林地的多刺树丛中，可能会加入混群;;最常通过其高音调、节奏快速的颤鸣声被发现;
红翅灰莺,Red-winged Grey Warbler,Drymocichla incana,13厘米;
白眉山鹪莺,Sierra Leone Prinia,Schistolais leontica,13厘米;
白颏山鹪莺,White-chinned Prinia,Schistolais leucopogon,13厘米;
罗氏山鹪莺,Roberts's Warbler,Oreophilais robertsi,13厘米;,津巴布韦近特有
亚纹山鹪莺,Namaqua Warbler,Phragmacia substriata,13-14厘米;,南非特有
绿长尾莺,Green Longtail,Urolais epichlorus,14厘米;
黑领娇莺,Black-collared Apalis,Oreolais pulcher,12-13厘米;
领娇莺,Rwenzori Apalis,Oreolais ruwenzorii,11-12厘米;,艾伯丁裂谷特有
红顶缝叶莺,Red-capped Forest Warbler,Artisornis metopias,10厘米;,坦桑尼亚近特有
长嘴缝叶莺,Long-billed Forest Warbler,Artisornis moreaui,不太引人注意的灰色莺（11-12厘米）;;具较长的尾、直而细的喙，及淡褐色的额;;⚑在莫桑比克有一个孤立的种群（上图），其颜色较深，头部较褐色;;⚑似褐头娇莺，但后者喙较短，尾端为白色;;胆怯，常单独或成对出现，慢慢地穿过灌木和冠层，尤其是在河流附近；有时会混群;;鸣唱是愉悦、甜美的“eeh-yuh eeh-yuh eeh-yuh”或尖锐的“peelik-peelik-peelik”，有时会混入干燥的“dzit”；鸣叫高音的“chhet”，像发出尖叫的狗玩具;,坦桑尼亚近特有
白尾拱翅莺,White-tailed Warbler,Poliolais lopezi,10厘米;
斑拱翅莺,Barred Wren-Warbler,Calamonastes fasciolatus,长尾的褐色莺（14厘米）;;⚑无论何种羽色，下体均有浓重的横纹，但繁殖期雄鸟胸部的褐色带斑会使这些横纹不太明显;;⚑似墨伊拱翅莺，但分布范围少有重叠，可通过暗淡的下体和颜色更深的眼加以区分;;在干旱多刺的稀树草原通常不常见；常像鹪鹩一样竖起尾;;常见鸣唱是一种颤动的金属音，频繁重复；另一种叫声是重复的双音节“gid-yup”;
灰拱翅莺,Grey Wren-Warbler,Calamonastes simplex,13厘米;
斯氏拱翅莺,Stierling's Wren-Warbler,Calamonastes stierlingi,13厘米;
墨伊拱翅莺,Miombo Wren-Warbler,Calamonastes undosus,尾较长的褐色莺（13厘米）;;⚑北方亚种（上图）下体呈灰褐色，带有模糊的横纹，而南方亚种（下图）下体为灰色，横纹较少或无;;⚑北方亚种不太独特，但仍可通过体形和下体的横纹辨认;;常以类似鹪鹩的方式翘尾;;主要分布在阔叶林和潮湿的热带草原中;;北方亚种发出重复的啁啾声；而南方亚种发出金属质的、重复的、三音调的叫声;
绿背拱翅莺,Bleating Camaroptera,Camaroptera brachyura,10-11厘米;
绿拱翅莺,Olive-green Camaroptera,Camaroptera chloronota,短尾的莺类（9.5-10厘米）;;整体较为暗淡，背和翅呈橄榄绿色;;⚑下体的颜色存在地理差异：西部亚种（下图）呈灰色，东部（上图）则为褐色，腹部为白色;;⚑似白尾拱翅莺，但外侧尾羽无白色;;⚑似绿背拱翅莺，但生活在更为密集的森林中，整体色彩较为沉闷，没有明亮的绿色翅;;栖息在雨林和次生林中，通常隐藏在茂密的灌木层中;;注意其独特的鸣唱：一连串快速的高音哨声，可能持续数分钟；同时也会发出其他拱翅莺类似的咩叫声;
绿尾拱翅莺,Hartert's Camaroptera,Camaroptera harterti,10-11厘米;,安哥拉特有
黄眉拱翅莺,Yellow-browed Camaroptera,Camaroptera superciliaris,10厘米;
蟋蟀鹪莺,Cricket Warbler,Spiloptila clamans,11-12厘米;
黄腹莺,Buff-bellied Warbler,Phyllolais pulchella,10厘米;
褐头娇莺,Brown-headed Apalis,Apalis alticola,12-13厘米;
昆维娇莺,Kungwe Apalis,Apalis argentea,11-12厘米;,艾伯丁裂谷特有
巴门娇莺,Bamenda Apalis,Apalis bamendae,12厘米;,喀麦隆特有
隐娇莺,Lowland Masked Apalis,Apalis binotata,11厘米;
查氏娇莺,Chapin's Apalis,Apalis chapini,深灰色的娇莺（12厘米）;;具棕红色的喉和胸;;⚑颏的颜色存在地理差异：北部（下图）为白色，南部（上图）为棕红色;;⚑略似红顶缝叶莺，但尾较长，喉上有更多的棕红色而头部的棕红色较少;;主要分布在山地森林的冠层中；通常成对或小群体出现，并会混群;;雄鸟主要发出一系列快速、高频的昆虫般的叫声，通常伴随着雌鸟的“tip”音;
白翅娇莺,White-winged Apalis,Apalis chariessa,12-13厘米;
赤尔娇莺,Chirinda Apalis,Apalis chirindensis,11-13厘米;
灰娇莺,Grey Apalis,Apalis cinerea,12-13厘米;
黄胸娇莺,Yellow-breasted Apalis,Apalis flavida,10.5-13厘米;
黄喉娇莺,Yellow-throated Apalis,Apalis flavigularis,11-12厘米;,马拉维特有
暗喉娇莺,Taita Apalis,Apalis fuscigularis,细长（11-12厘米）的深色长尾娇莺;;主要呈灰褐色，具黑色喉部和淡灰色腹部;;还有白色的眼和白色的外尾羽;;⚑略似黑头娇莺，但可通过黑色而非白色的喉部轻松区分;;栖息于肯尼亚塔伊塔山脉残余的山地森林中的一小片区域，主要分布在林缘和林下;;典型的鸣唱是一首二重唱，雄鸟发出重复低沉的“chrup”音符，而雌鸟则发出快速的高音;,肯尼亚特有
